ALDER;KØN;TID;INDHOLD
11;M;2016;34105
11;M;2017;34129
11;M;2018;35009
11;M;2019;34617
11;M;2020;35382
11;M;2021;34186
11;M;2022;34286
11;M;2023;32088
11;K;1980;35859
11;K;1981;34494
11;K;1982;34627
11;K;1983;36342
11;K;1984;36822
11;K;1985;34976
11;K;1986;34879
11;K;1987;35525
11;K;1988;31959
11;K;1989;30538
11;K;1990;30615
11;K;1991;29370
11;K;1992;28597
11;K;1993;26743
11;K;1994;26427
11;K;1995;25731
11;K;1996;26436
11;K;1997;27570
11;K;1998;28160
11;K;1999;28391
11;K;2000;29824
11;K;2001;31199
11;K;2002;32257
11;K;2003;32666
11;K;2004;34097
11;K;2005;33953
11;K;2006;35166
11;K;2007;34849
11;K;2008;33737
11;K;2009;33605
11;K;2010;32890
11;K;2011;32980
11;K;2012;33299
11;K;2013;32476
11;K;2014;31749
11;K;2015;32302
11;K;2016;32598
11;K;2017;32858
11;K;2018;33146
11;K;2019;32909
11;K;2020;33267
11;K;2021;32242
11;K;2022;32559
11;K;2023;31026
12;M;1980;41131
12;M;1981;38026
12;M;1982;36517
12;M;1983;36184
12;M;1984;38471
12;M;1985;38223
12;M;1986;36516
12;M;1987;36356
12;M;1988;36756
12;M;1989;33878
12;M;1990;31956
12;M;1991;32148
12;M;1992;30795
12;M;1993;29860
12;M;1994;27727
12;M;1995;27874
12;M;1996;27002
12;M;1997;27790
12;M;1998;28791
12;M;1999;29765
12;M;2000;30246
12;M;2001;31698
12;M;2002;32936
12;M;2003;34172
12;M;2004;34462
12;M;2005;36125
12;M;2006;35749
12;M;2007;36867
12;M;2008;36924
12;M;2009;35631
12;M;2010;35439
12;M;2011;34687
12;M;2012;34400
12;M;2013;34841
12;M;2014;33874
12;M;2015;33665
12;M;2016;34130
12;M;2017;34281
12;M;2018;34244
12;M;2019;35124
12;M;2020;34682
12;M;2021;35467
12;M;2022;34281
12;M;2023;34673
12;K;1980;39380
12;K;1981;35887
12;K;1982;34494
12;K;1983;34630
12;K;1984;36353
12;K;1985;36835
12;K;1986;35016
12;K;1987;34936
12;K;1988;35600
12;K;1989;31990
12;K;1990;30593
12;K;1991;30679
12;K;1992;29470
12;K;1993;28705
12;K;1994;26838
12;K;1995;26492
12;K;1996;25968
12;K;1997;26568
12;K;1998;27646
12;K;1999;28252
12;K;2000;28434
12;K;2001;29920
12;K;2002;31326
12;K;2003;32384
12;K;2004;32737
12;K;2005;34111
12;K;2006;33956
12;K;2007;35223
12;K;2008;34853
12;K;2009;33779
12;K;2010;33630
12;K;2011;32937
12;K;2012;33034
12;K;2013;33387
12;K;2014;32548
12;K;2015;31863
12;K;2016;32463
12;K;2017;32741
12;K;2018;32925
12;K;2019;33251
12;K;2020;32991
12;K;2021;33367
12;K;2022;32316
12;K;2023;32982
13;M;1980;44601
13;M;1981;41124
13;M;1982;38023
13;M;1983;36514
13;M;1984;36200
13;M;1985;38501
13;M;1986;38259
13;M;1987;36569
13;M;1988;36439
13;M;1989;36835
13;M;1990;33951
13;M;1991;32054
13;M;1992;32219
13;M;1993;30894
13;M;1994;29958
13;M;1995;27791
13;M;1996;28103
13;M;1997;27140
13;M;1998;27860
13;M;1999;28903
13;M;2000;29807
13;M;2001;30365
13;M;2002;31854
13;M;2003;33065
13;M;2004;34256
13;M;2005;34526
13;M;2006;36126
13;M;2007;35780
13;M;2008;36875
13;M;2009;36995
13;M;2010;35681
13;M;2011;35511
13;M;2012;34750
13;M;2013;34455
13;M;2014;34897
13;M;2015;33998
13;M;2016;33870
13;M;2017;34292
13;M;2018;34391
13;M;2019;34310
13;M;2020;35201
13;M;2021;34786
13;M;2022;35540
13;M;2023;34701
13;K;1980;42497
13;K;1981;39395
13;K;1982;35882
13;K;1983;34492
13;K;1984;34650
13;K;1985;36365
13;K;1986;36875
13;K;1987;35057
13;K;1988;35000
13;K;1989;35600
13;K;1990;32024
13;K;1991;30656
13;K;1992;30791
13;K;1993;29560
13;K;1994;28792
13;K;1995;26867
13;K;1996;26706
13;K;1997;26101
13;K;1998;26634
13;K;1999;27723
13;K;2000;28327
13;K;2001;28545
13;K;2002;30037
13;K;2003;31418
13;K;2004;32447
13;K;2005;32771
13;K;2006;34142
13;K;2007;33973
13;K;2008;35266
13;K;2009;34927
13;K;2010;33833
13;K;2011;33670
13;K;2012;32967
13;K;2013;33094
13;K;2014;33474
13;K;2015;32663
13;K;2016;32017
13;K;2017;32636
13;K;2018;32876
13;K;2019;33035
13;K;2020;33322
13;K;2021;33110
13;K;2022;33445
13;K;2023;32748
14;M;1980;43190
14;M;1981;44648
14;M;1982;41106
14;M;1983;38031
14;M;1984;36518
14;M;1985;36241
14;M;1986;38516
14;M;1987;38323
14;M;1988;36667
14;M;1989;36489
14;M;1990;36853
14;M;1991;33983
14;M;1992;32150
14;M;1993;32355
14;M;1994;31004
14;M;1995;30035
14;M;1996;28023
14;M;1997;28254
14;M;1998;27232
14;M;1999;27955
14;M;2000;28975
14;M;2001;29946
14;M;2002;30484
14;M;2003;31961
14;M;2004;33171
14;M;2005;34315
14;M;2006;34503
14;M;2007;36189
14;M;2008;35822
14;M;2009;36956
14;M;2010;37062
14;M;2011;35737
14;M;2012;35586
14;M;2013;34863
14;M;2014;34544
14;M;2015;35052
14;M;2016;34227
14;M;2017;34066
14;M;2018;34394
14;M;2019;34491
14;M;2020;34417
14;M;2021;35291
14;M;2022;34888
14;M;2023;35935
14;K;1980;41145
14;K;1981;42506
14;K;1982;39404
14;K;1983;35877
14;K;1984;34503
14;K;1985;34684
14;K;1986;36426
14;K;1987;36932
14;K;1988;35119
14;K;1989;35030
14;K;1990;35688
14;K;1991;32085
14;K;1992;30754
14;K;1993;30886
14;K;1994;29640
14;K;1995;28861
14;K;1996;27100
14;K;1997;26826
14;K;1998;26205
14;K;1999;26748
14;K;2000;27805
14;K;2001;28425
14;K;2002;28672
14;K;2003;30118
14;K;2004;31453
14;K;2005;32484
14;K;2006;32779
14;K;2007;34144
14;K;2008;34013
14;K;2009;35386
14;K;2010;34982
14;K;2011;33906
14;K;2012;33740
14;K;2013;33040
14;K;2014;33185
14;K;2015;33581
14;K;2016;32872
14;K;2017;32152
14;K;2018;32753
14;K;2019;32976
