"Jahr","Alter","Geschlecht","value"
"1988","76 Jahre","Frau",26465
"1989","76 Jahre","Frau",26153
"1990","76 Jahre","Frau",26070
"1991","76 Jahre","Frau",23680
"1992","76 Jahre","Frau",23056
"1993","76 Jahre","Frau",22804
"1994","76 Jahre","Frau",23062
"1995","76 Jahre","Frau",23901
"1996","76 Jahre","Frau",27718
"1997","76 Jahre","Frau",28710
"1998","76 Jahre","Frau",27503
"1999","76 Jahre","Frau",28234
"2000","76 Jahre","Frau",28683
"2001","76 Jahre","Frau",28903
"2002","76 Jahre","Frau",28849
"2003","76 Jahre","Frau",28251
"2004","76 Jahre","Frau",28943
"2005","76 Jahre","Frau",29326
"2006","76 Jahre","Frau",29768
"2007","76 Jahre","Frau",29321
"2008","76 Jahre","Frau",29669
"2009","76 Jahre","Frau",29623
"2010","76 Jahre","Frau",30018
"2011","76 Jahre","Frau",30404
"2012","76 Jahre","Frau",30503
"2013","76 Jahre","Frau",29999
"2014","76 Jahre","Frau",30975
"2015","76 Jahre","Frau",31591
"2016","76 Jahre","Frau",32249
"2017","76 Jahre","Frau",34279
"2018","76 Jahre","Frau",35919
"2019","76 Jahre","Frau",37432
"2020","76 Jahre","Frau",38305
"2021","76 Jahre","Frau",38360
"2022","76 Jahre","Frau",39993
"1860","77 Jahre","Frau",1987
"1861","77 Jahre","Frau",1994
"1862","77 Jahre","Frau",2001
"1863","77 Jahre","Frau",2008
"1864","77 Jahre","Frau",2015
"1865","77 Jahre","Frau",2022
"1866","77 Jahre","Frau",2029
"1867","77 Jahre","Frau",2036
"1868","77 Jahre","Frau",2043
"1869","77 Jahre","Frau",2050
"1870","77 Jahre","Frau",2057
"1871","77 Jahre","Frau",2124
"1872","77 Jahre","Frau",2192
"1873","77 Jahre","Frau",2259
"1874","77 Jahre","Frau",2327
"1875","77 Jahre","Frau",2395
"1876","77 Jahre","Frau",2462
"1877","77 Jahre","Frau",2530
"1878","77 Jahre","Frau",2597
"1879","77 Jahre","Frau",2665
"1880","77 Jahre","Frau",2733
"1881","77 Jahre","Frau",2737
"1882","77 Jahre","Frau",2741
"1883","77 Jahre","Frau",2746
"1884","77 Jahre","Frau",2750
"1885","77 Jahre","Frau",2755
"1886","77 Jahre","Frau",2759
"1887","77 Jahre","Frau",2763
"1888","77 Jahre","Frau",2768
"1889","77 Jahre","Frau",2772
"1890","77 Jahre","Frau",2777
"1891","77 Jahre","Frau",2734
"1892","77 Jahre","Frau",2734
"1893","77 Jahre","Frau",2753
"1894","77 Jahre","Frau",2947
"1895","77 Jahre","Frau",3061
"1896","77 Jahre","Frau",3055
"1897","77 Jahre","Frau",3220
"1898","77 Jahre","Frau",3363
"1899","77 Jahre","Frau",3453
"1900","77 Jahre","Frau",3562
"1901","77 Jahre","Frau",3519
"1902","77 Jahre","Frau",3577
"1903","77 Jahre","Frau",3586
"1904","77 Jahre","Frau",3605
"1905","77 Jahre","Frau",3829
"1906","77 Jahre","Frau",3772
"1907","77 Jahre","Frau",3754
"1908","77 Jahre","Frau",3741
"1909","77 Jahre","Frau",3872
"1910","77 Jahre","Frau",4030
"1911","77 Jahre","Frau",4031
"1912","77 Jahre","Frau",4085
"1913","77 Jahre","Frau",4187
"1914","77 Jahre","Frau",4318
"1915","77 Jahre","Frau",4495
"1916","77 Jahre","Frau",4555
"1917","77 Jahre","Frau",4584
"1918","77 Jahre","Frau",4637
"1919","77 Jahre","Frau",4678
"1920","77 Jahre","Frau",4828
"1921","77 Jahre","Frau",4774
"1922","77 Jahre","Frau",4659
"1923","77 Jahre","Frau",4754
"1924","77 Jahre","Frau",4733
"1925","77 Jahre","Frau",4882
"1926","77 Jahre","Frau",4854
"1927","77 Jahre","Frau",4853
"1928","77 Jahre","Frau",4900
"1929","77 Jahre","Frau",5015
"1930","77 Jahre","Frau",5213
"1931","77 Jahre","Frau",5306
"1932","77 Jahre","Frau",5466
"1933","77 Jahre","Frau",5632
"1934","77 Jahre","Frau",6030
"1935","77 Jahre","Frau",6325
"1936","77 Jahre","Frau",6455
"1937","77 Jahre","Frau",6673
"1938","77 Jahre","Frau",6770
"1939","77 Jahre","Frau",7041
"1940","77 Jahre","Frau",7311
"1941","77 Jahre","Frau",7730
"1942","77 Jahre","Frau",7822
"1943","77 Jahre","Frau",7941
"1944","77 Jahre","Frau",7833
"1945","77 Jahre","Frau",7793
"1946","77 Jahre","Frau",8178
"1947","77 Jahre","Frau",8708
"1948","77 Jahre","Frau",8527
"1949","77 Jahre","Frau",9424
"1950","77 Jahre","Frau",9549
"1951","77 Jahre","Frau",9947
"1952","77 Jahre","Frau",10945
"1953","77 Jahre","Frau",10969
"1954","77 Jahre","Frau",11427
"1955","77 Jahre","Frau",11490
"1956","77 Jahre","Frau",11644
"1957","77 Jahre","Frau",11598
"1958","77 Jahre","Frau",12039
"1959","77 Jahre","Frau",12488
"1960","77 Jahre","Frau",12479
"1961","77 Jahre","Frau",12875
"1962","77 Jahre","Frau",13033
"1963","77 Jahre","Frau",13437
"1964","77 Jahre","Frau",13578
"1965","77 Jahre","Frau",14107
"1966","77 Jahre","Frau",14503
"1967","77 Jahre","Frau",14208
"1968","77 Jahre","Frau",15588
"1969","77 Jahre","Frau",15800
"1970","77 Jahre","Frau",16558
"1971","77 Jahre","Frau",16939
"1972","77 Jahre","Frau",17251
"1973","77 Jahre","Frau",18425
"1974","77 Jahre","Frau",18749
"1975","77 Jahre","Frau",19670
"1976","77 Jahre","Frau",20473
"1977","77 Jahre","Frau",21049
"1978","77 Jahre","Frau",22323
"1979","77 Jahre","Frau",22441
"1980","77 Jahre","Frau",22212
"1981","77 Jahre","Frau",23046
"1982","77 Jahre","Frau",23815
"1983","77 Jahre","Frau",23999
"1984","77 Jahre","Frau",24452
"1985","77 Jahre","Frau",25681
"1986","77 Jahre","Frau",25117
"1987","77 Jahre","Frau",25493
"1988","77 Jahre","Frau",25420
"1989","77 Jahre","Frau",25683
"1990","77 Jahre","Frau",25279
"1991","77 Jahre","Frau",25238
"1992","77 Jahre","Frau",22969
"1993","77 Jahre","Frau",22367
"1994","77 Jahre","Frau",22095
"1995","77 Jahre","Frau",22371
"1996","77 Jahre","Frau",23195
"1997","77 Jahre","Frau",27018
"1998","77 Jahre","Frau",27911
"1999","77 Jahre","Frau",26724
"2000","77 Jahre","Frau",27530
"2001","77 Jahre","Frau",28021
"2002","77 Jahre","Frau",28098
"2003","77 Jahre","Frau",28159
"2004","77 Jahre","Frau",27609
"2005","77 Jahre","Frau",28298
"2006","77 Jahre","Frau",28635
"2007","77 Jahre","Frau",29118
"2008","77 Jahre","Frau",28704
"2009","77 Jahre","Frau",29033
"2010","77 Jahre","Frau",29030
"2011","77 Jahre","Frau",29429
"2012","77 Jahre","Frau",29809
"2013","77 Jahre","Frau",29883
"2014","77 Jahre","Frau",29447
"2015","77 Jahre","Frau",30335
"2016","77 Jahre","Frau",30968
"2017","77 Jahre","Frau",31604
"2018","77 Jahre","Frau",33611
"2019","77 Jahre","Frau",35262
"2020","77 Jahre","Frau",36753
"2021","77 Jahre","Frau",37574
"2022","77 Jahre","Frau",37656
"1860","78 Jahre","Frau",1679
"1861","78 Jahre","Frau",1686
"1862","78 Jahre","Frau",1694
"1863","78 Jahre","Frau",1702
"1864","78 Jahre","Frau",1709
"1865","78 Jahre","Frau",1717
"1866","78 Jahre","Frau",1725
"1867","78 Jahre","Frau",1732
"1868","78 Jahre","Frau",1740
"1869","78 Jahre","Frau",1748
"1870","78 Jahre","Frau",1756
"1871","78 Jahre","Frau",1804
"1872","78 Jahre","Frau",1852
"1873","78 Jahre","Frau",1900
"1874","78 Jahre","Frau",1949
"1875","78 Jahre","Frau",1997
"1876","78 Jahre","Frau",2045
"1877","78 Jahre","Frau",2094
"1878","78 Jahre","Frau",2142
"1879","78 Jahre","Frau",2190
"1880","78 Jahre","Frau",2239
"1881","78 Jahre","Frau",2254
"1882","78 Jahre","Frau",2269
"1883","78 Jahre","Frau",2284
"1884","78 Jahre","Frau",2299
"1885","78 Jahre","Frau",2314
"1886","78 Jahre","Frau",2329
"1887","78 Jahre","Frau",2344
"1888","78 Jahre","Frau",2359
"1889","78 Jahre","Frau",2374
"1890","78 Jahre","Frau",2390
"1891","78 Jahre","Frau",2354
"1892","78 Jahre","Frau",2375
"1893","78 Jahre","Frau",2334
"1894","78 Jahre","Frau",2369
"1895","78 Jahre","Frau",2570
"1896","78 Jahre","Frau",2684
"1897","78 Jahre","Frau",2726
"1898","78 Jahre","Frau",2810
"1899","78 Jahre","Frau",2903
"1900","78 Jahre","Frau",2964
"1901","78 Jahre","Frau",3115
"1902","78 Jahre","Frau",3108
"1903","78 Jahre","Frau",3141
"1904","78 Jahre","Frau",3163
"1905","78 Jahre","Frau",3158
"1906","78 Jahre","Frau",3366
"1907","78 Jahre","Frau",3307
"1908","78 Jahre","Frau",3289
"1909","78 Jahre","Frau",3278
"1910","78 Jahre","Frau",3421
"1911","78 Jahre","Frau",3530
"1912","78 Jahre","Frau",3546
"1913","78 Jahre","Frau",3584
"1914","78 Jahre","Frau",3706
"1915","78 Jahre","Frau",3827
"1916","78 Jahre","Frau",3963
"1917","78 Jahre","Frau",4020
"1918","78 Jahre","Frau",4056
"1919","78 Jahre","Frau",4063
"1920","78 Jahre","Frau",4118
"1921","78 Jahre","Frau",4292
"1922","78 Jahre","Frau",4162
"1923","78 Jahre","Frau",4191
"1924","78 Jahre","Frau",4231
"1925","78 Jahre","Frau",4237
"1926","78 Jahre","Frau",4356
"1927","78 Jahre","Frau",4311
"1928","78 Jahre","Frau",4349
"1929","78 Jahre","Frau",4372
"1930","78 Jahre","Frau",4504
"1931","78 Jahre","Frau",4666
"1932","78 Jahre","Frau",4746
"1933","78 Jahre","Frau",4892
"1934","78 Jahre","Frau",5070
"1935","78 Jahre","Frau",5422
"1936","78 Jahre","Frau",5702
"1937","78 Jahre","Frau",5846
"1938","78 Jahre","Frau",6031
"1939","78 Jahre","Frau",6100
"1940","78 Jahre","Frau",6295
"1941","78 Jahre","Frau",6615
"1942","78 Jahre","Frau",7067
"1943","78 Jahre","Frau",7216
"1944","78 Jahre","Frau",7183
"1945","78 Jahre","Frau",7071
"1946","78 Jahre","Frau",7113
"1947","78 Jahre","Frau",7477
"1948","78 Jahre","Frau",7964
"1949","78 Jahre","Frau",7786
"1950","78 Jahre","Frau",8682
"1951","78 Jahre","Frau",8702
"1952","78 Jahre","Frau",9147
"1953","78 Jahre","Frau",10011
"1954","78 Jahre","Frau",10135
"1955","78 Jahre","Frau",10522
"1956","78 Jahre","Frau",10558
"1957","78 Jahre","Frau",10768
"1958","78 Jahre","Frau",10761
"1959","78 Jahre","Frau",11171
"1960","78 Jahre","Frau",11557
"1961","78 Jahre","Frau",11642
"1962","78 Jahre","Frau",11914
"1963","78 Jahre","Frau",12115
"1964","78 Jahre","Frau",12505
"1965","78 Jahre","Frau",12661
"1966","78 Jahre","Frau",13118
"1967","78 Jahre","Frau",13569
"1968","78 Jahre","Frau",13359
"1969","78 Jahre","Frau",14587
"1970","78 Jahre","Frau",14801
"1971","78 Jahre","Frau",15592
"1972","78 Jahre","Frau",15964
"1973","78 Jahre","Frau",16290
"1974","78 Jahre","Frau",17440
"1975","78 Jahre","Frau",17699
"1976","78 Jahre","Frau",18655
"1977","78 Jahre","Frau",19474
"1978","78 Jahre","Frau",20116
"1979","78 Jahre","Frau",21269
"1980","78 Jahre","Frau",21331
"1981","78 Jahre","Frau",21166
"1982","78 Jahre","Frau",22026
"1983","78 Jahre","Frau",22799
"1984","78 Jahre","Frau",23037
"1985","78 Jahre","Frau",23482
"1986","78 Jahre","Frau",24767
"1987","78 Jahre","Frau",24216
"1988","78 Jahre","Frau",24553
"1989","78 Jahre","Frau",24563
"1990","78 Jahre","Frau",24763
"1991","78 Jahre","Frau",24502
"1992","78 Jahre","Frau",24406
"1993","78 Jahre","Frau",22271
"1994","78 Jahre","Frau",21667
"1995","78 Jahre","Frau",21433
"1996","78 Jahre","Frau",21695
"1997","78 Jahre","Frau",22451
"1998","78 Jahre","Frau",26168
"1999","78 Jahre","Frau",27063
"2000","78 Jahre","Frau",25984
"2001","78 Jahre","Frau",26921
"2002","78 Jahre","Frau",27240
"2003","78 Jahre","Frau",27317
"2004","78 Jahre","Frau",27413
"2005","78 Jahre","Frau",26945
"2006","78 Jahre","Frau",27601
"2007","78 Jahre","Frau",27994
"2008","78 Jahre","Frau",28504
"2009","78 Jahre","Frau",28052
"2010","78 Jahre","Frau",28362
"2011","78 Jahre","Frau",28401
"2012","78 Jahre","Frau",28806
"2013","78 Jahre","Frau",29140
"2014","78 Jahre","Frau",29214
"2015","78 Jahre","Frau",28807
"2016","78 Jahre","Frau",29697
"2017","78 Jahre","Frau",30300
"2018","78 Jahre","Frau",30898
"2019","78 Jahre","Frau",32895
"2020","78 Jahre","Frau",34427
"2021","78 Jahre","Frau",35938
"2022","78 Jahre","Frau",36767
"1860","79 Jahre","Frau",1419
"1861","79 Jahre","Frau",1426
"1862","79 Jahre","Frau",1434
"1863","79 Jahre","Frau",1442
"1864","79 Jahre","Frau",1450
"1865","79 Jahre","Frau",1458
"1866","79 Jahre","Frau",1466
"1867","79 Jahre","Frau",1474
"1868","79 Jahre","Frau",1482
"1869","79 Jahre","Frau",1490
"1870","79 Jahre","Frau",1498
"1871","79 Jahre","Frau",1531
"1872","79 Jahre","Frau",1565
"1873","79 Jahre","Frau",1599
"1874","79 Jahre","Frau",1632
"1875","79 Jahre","Frau",1666
"1876","79 Jahre","Frau",1700
"1877","79 Jahre","Frau",1733
"1878","79 Jahre","Frau",1767
"1879","79 Jahre","Frau",1801
"1880","79 Jahre","Frau",1835
"1881","79 Jahre","Frau",1859
"1882","79 Jahre","Frau",1883
"1883","79 Jahre","Frau",1907
"1884","79 Jahre","Frau",1931
"1885","79 Jahre","Frau",1955
"1886","79 Jahre","Frau",1979
"1887","79 Jahre","Frau",2003
"1888","79 Jahre","Frau",2027
"1889","79 Jahre","Frau",2051
"1890","79 Jahre","Frau",2075
"1891","79 Jahre","Frau",2049
"1892","79 Jahre","Frau",2027
"1893","79 Jahre","Frau",2001
"1894","79 Jahre","Frau",2003
"1895","79 Jahre","Frau",2057
"1896","79 Jahre","Frau",2249
"1897","79 Jahre","Frau",2332
"1898","79 Jahre","Frau",2376
"1899","79 Jahre","Frau",2454
"1900","79 Jahre","Frau",2466
"1901","79 Jahre","Frau",2539
"1902","79 Jahre","Frau",2683
"1903","79 Jahre","Frau",2659
"1904","79 Jahre","Frau",2735
"1905","79 Jahre","Frau",2697
"1906","79 Jahre","Frau",2729
"1907","79 Jahre","Frau",2918
"1908","79 Jahre","Frau",2870
"1909","79 Jahre","Frau",2861
"1910","79 Jahre","Frau",2904
"1911","79 Jahre","Frau",3006
"1912","79 Jahre","Frau",3119
"1913","79 Jahre","Frau",3097
"1914","79 Jahre","Frau",3134
"1915","79 Jahre","Frau",3277
"1916","79 Jahre","Frau",3314
"1917","79 Jahre","Frau",3489
"1918","79 Jahre","Frau",3496
"1919","79 Jahre","Frau",3500
"1920","79 Jahre","Frau",3512
"1921","79 Jahre","Frau",3556
"1922","79 Jahre","Frau",3706
"1923","79 Jahre","Frau",3679
"1924","79 Jahre","Frau",3648
"1925","79 Jahre","Frau",3725
"1926","79 Jahre","Frau",3769
"1927","79 Jahre","Frau",3820
"1928","79 Jahre","Frau",3839
"1929","79 Jahre","Frau",3794
"1930","79 Jahre","Frau",3891
"1931","79 Jahre","Frau",3963
"1932","79 Jahre","Frau",4080
"1933","79 Jahre","Frau",4250
"1934","79 Jahre","Frau",4406
"1935","79 Jahre","Frau",4484
"1936","79 Jahre","Frau",4850
"1937","79 Jahre","Frau",5085
"1938","79 Jahre","Frau",5232
"1939","79 Jahre","Frau",5358
"1940","79 Jahre","Frau",5410
"1941","79 Jahre","Frau",5661
"1942","79 Jahre","Frau",6000
"1943","79 Jahre","Frau",6402
"1944","79 Jahre","Frau",6590
"1945","79 Jahre","Frau",6484
"1946","79 Jahre","Frau",6454
"1947","79 Jahre","Frau",6426
"1948","79 Jahre","Frau",6737
"1949","79 Jahre","Frau",7221
"1950","79 Jahre","Frau",7092
"1951","79 Jahre","Frau",7869
"1952","79 Jahre","Frau",7952
"1953","79 Jahre","Frau",8293
"1954","79 Jahre","Frau",9152
"1955","79 Jahre","Frau",9209
"1956","79 Jahre","Frau",9575
"1957","79 Jahre","Frau",9732
"1958","79 Jahre","Frau",9892
"1959","79 Jahre","Frau",9955
"1960","79 Jahre","Frau",10308
"1961","79 Jahre","Frau",10726
"1962","79 Jahre","Frau",10700
"1963","79 Jahre","Frau",10919
"1964","79 Jahre","Frau",11240
"1965","79 Jahre","Frau",11540
"1966","79 Jahre","Frau",11660
"1967","79 Jahre","Frau",12217
"1968","79 Jahre","Frau",12570
"1969","79 Jahre","Frau",12424
"1970","79 Jahre","Frau",13559
"1971","79 Jahre","Frau",13750
"1972","79 Jahre","Frau",14612
"1973","79 Jahre","Frau",14908
"1974","79 Jahre","Frau",15290
"1975","79 Jahre","Frau",16379
"1976","79 Jahre","Frau",16649
"1977","79 Jahre","Frau",17588
"1978","79 Jahre","Frau",18432
"1979","79 Jahre","Frau",19069
"1980","79 Jahre","Frau",20135
"1981","79 Jahre","Frau",20226
"1982","79 Jahre","Frau",20058
"1983","79 Jahre","Frau",20909
"1984","79 Jahre","Frau",21724
"1985","79 Jahre","Frau",21989
"1986","79 Jahre","Frau",22414
"1987","79 Jahre","Frau",23720
"1988","79 Jahre","Frau",23183
"1989","79 Jahre","Frau",23544
"1990","79 Jahre","Frau",23556
"1991","79 Jahre","Frau",23910
"1992","79 Jahre","Frau",23614
"1993","79 Jahre","Frau",23513
"1994","79 Jahre","Frau",21462
"1995","79 Jahre","Frau",20938
"1996","79 Jahre","Frau",20677
"1997","79 Jahre","Frau",20913
"1998","79 Jahre","Frau",21632
"1999","79 Jahre","Frau",25298
"2000","79 Jahre","Frau",26190
"2001","79 Jahre","Frau",25434
"2002","79 Jahre","Frau",26051
"2003","79 Jahre","Frau",26393
"2004","79 Jahre","Frau",26497
"2005","79 Jahre","Frau",26657
"2006","79 Jahre","Frau",26163
"2007","79 Jahre","Frau",26804
"2008","79 Jahre","Frau",27255
"2009","79 Jahre","Frau",27798
"2010","79 Jahre","Frau",27262
"2011","79 Jahre","Frau",27624
"2012","79 Jahre","Frau",27672
"2013","79 Jahre","Frau",28131
"2014","79 Jahre","Frau",28460
"2015","79 Jahre","Frau",28484
"2016","79 Jahre","Frau",28110
"2017","79 Jahre","Frau",28925
"2018","79 Jahre","Frau",29566
"2019","79 Jahre","Frau",30137
"2020","79 Jahre","Frau",32088
"2021","79 Jahre","Frau",33518
"2022","79 Jahre","Frau",35056
"1860","80 Jahre","Frau",1199
"1861","80 Jahre","Frau",1207
"1862","80 Jahre","Frau",1215
"1863","80 Jahre","Frau",1223
"1864","80 Jahre","Frau",1231
"1865","80 Jahre","Frau",1239
"1866","80 Jahre","Frau",1247
"1867","80 Jahre","Frau",1255
"1868","80 Jahre","Frau",1263
"1869","80 Jahre","Frau",1271
"1870","80 Jahre","Frau",1279
"1871","80 Jahre","Frau",1301
"1872","80 Jahre","Frau",1324
"1873","80 Jahre","Frau",1346
"1874","80 Jahre","Frau",1369
"1875","80 Jahre","Frau",1391
"1876","80 Jahre","Frau",1414
"1877","80 Jahre","Frau",1436
"1878","80 Jahre","Frau",1459
"1879","80 Jahre","Frau",1481
"1880","80 Jahre","Frau",1504
"1881","80 Jahre","Frau",1524
"1882","80 Jahre","Frau",1545
"1883","80 Jahre","Frau",1566
"1884","80 Jahre","Frau",1587
"1885","80 Jahre","Frau",1608
"1886","80 Jahre","Frau",1628
"1887","80 Jahre","Frau",1649
"1888","80 Jahre","Frau",1670
"1889","80 Jahre","Frau",1691
"1890","80 Jahre","Frau",1712
"1891","80 Jahre","Frau",1721
"1892","80 Jahre","Frau",1705
"1893","80 Jahre","Frau",1721
"1894","80 Jahre","Frau",1683
"1895","80 Jahre","Frau",1663
"1896","80 Jahre","Frau",1757
"1897","80 Jahre","Frau",1922
"1898","80 Jahre","Frau",2005
"1899","80 Jahre","Frau",2049
"1900","80 Jahre","Frau",2052
"1901","80 Jahre","Frau",2105
"1902","80 Jahre","Frau",2175
"1903","80 Jahre","Frau",2270
"1904","80 Jahre","Frau",2285
"1905","80 Jahre","Frau",2307
"1906","80 Jahre","Frau",2318
"1907","80 Jahre","Frau",2340
"1908","80 Jahre","Frau",2506
"1909","80 Jahre","Frau",2453
"1910","80 Jahre","Frau",2465
"1911","80 Jahre","Frau",2514
"1912","80 Jahre","Frau",2598
"1913","80 Jahre","Frau",2669
"1914","80 Jahre","Frau",2679
"1915","80 Jahre","Frau",2722
"1916","80 Jahre","Frau",2827
"1917","80 Jahre","Frau",2847
"1918","80 Jahre","Frau",3017
"1919","80 Jahre","Frau",2999
"1920","80 Jahre","Frau",2996
"1921","80 Jahre","Frau",3053
"1922","80 Jahre","Frau",3054
"1923","80 Jahre","Frau",3247
"1924","80 Jahre","Frau",3174
"1925","80 Jahre","Frau",3157
"1926","80 Jahre","Frau",3243
"1927","80 Jahre","Frau",3280
"1928","80 Jahre","Frau",3354
"1929","80 Jahre","Frau",3327
"1930","80 Jahre","Frau",3361
"1931","80 Jahre","Frau",3386
"1932","80 Jahre","Frau",3433
"1933","80 Jahre","Frau",3627
"1934","80 Jahre","Frau",3777
"1935","80 Jahre","Frau",3884
"1936","80 Jahre","Frau",4015
"1937","80 Jahre","Frau",4327
"1938","80 Jahre","Frau",4472
"1939","80 Jahre","Frau",4629
"1940","80 Jahre","Frau",4693
"1941","80 Jahre","Frau",4845
"1942","80 Jahre","Frau",5069
"1943","80 Jahre","Frau",5401
"1944","80 Jahre","Frau",5637
"1945","80 Jahre","Frau",5952
"1946","80 Jahre","Frau",5918
"1947","80 Jahre","Frau",5723
"1948","80 Jahre","Frau",5710
"1949","80 Jahre","Frau",6061
"1950","80 Jahre","Frau",6518
"1951","80 Jahre","Frau",6383
"1952","80 Jahre","Frau",7151
"1953","80 Jahre","Frau",7148
"1954","80 Jahre","Frau",7485
"1955","80 Jahre","Frau",8352
"1956","80 Jahre","Frau",8269
"1957","80 Jahre","Frau",8688
"1958","80 Jahre","Frau",8835
"1959","80 Jahre","Frau",8971
"1960","80 Jahre","Frau",9158
"1961","80 Jahre","Frau",9451
"1962","80 Jahre","Frau",9779
"1963","80 Jahre","Frau",9731
"1964","80 Jahre","Frau",10034
"1965","80 Jahre","Frau",10327
"1966","80 Jahre","Frau",10578
"1967","80 Jahre","Frau",10763
"1968","80 Jahre","Frau",11152
"1969","80 Jahre","Frau",11552
"1970","80 Jahre","Frau",11411
"1971","80 Jahre","Frau",12533
"1972","80 Jahre","Frau",12697
"1973","80 Jahre","Frau",13557
"1974","80 Jahre","Frau",13866
"1975","80 Jahre","Frau",14300
"1976","80 Jahre","Frau",15374
"1977","80 Jahre","Frau",15614
"1978","80 Jahre","Frau",16483
"1979","80 Jahre","Frau",17372
"1980","80 Jahre","Frau",18000
"1981","80 Jahre","Frau",18917
"1982","80 Jahre","Frau",19106
"1983","80 Jahre","Frau",18947
"1984","80 Jahre","Frau",19822
"1985","80 Jahre","Frau",20584
"1986","80 Jahre","Frau",20892
"1987","80 Jahre","Frau",21323
"1988","80 Jahre","Frau",22574
"1989","80 Jahre","Frau",22062
"1990","80 Jahre","Frau",22411
"1991","80 Jahre","Frau",22349
"1992","80 Jahre","Frau",22878
"1993","80 Jahre","Frau",22571
"1994","80 Jahre","Frau",22602
"1995","80 Jahre","Frau",20546
"1996","80 Jahre","Frau",20036
"1997","80 Jahre","Frau",19840
"1998","80 Jahre","Frau",20040
"1999","80 Jahre","Frau",20765
"2000","80 Jahre","Frau",24299
"2001","80 Jahre","Frau",25529
"2002","80 Jahre","Frau",24424
"2003","80 Jahre","Frau",25052
"2004","80 Jahre","Frau",25489
"2005","80 Jahre","Frau",25575
"2006","80 Jahre","Frau",25815
"2007","80 Jahre","Frau",25355
"2008","80 Jahre","Frau",25953
"2009","80 Jahre","Frau",26404
"2010","80 Jahre","Frau",26940
"2011","80 Jahre","Frau",26422
"2012","80 Jahre","Frau",26831
"2013","80 Jahre","Frau",26890
"2014","80 Jahre","Frau",27341
"2015","80 Jahre","Frau",27660
"2016","80 Jahre","Frau",27657
"2017","80 Jahre","Frau",27284
"2018","80 Jahre","Frau",28164
"2019","80 Jahre","Frau",28797
"2020","80 Jahre","Frau",29268
"2021","80 Jahre","Frau",31180
"2022","80 Jahre","Frau",32588
"1860","81 Jahre","Frau",1013
"1861","81 Jahre","Frau",1020
"1862","81 Jahre","Frau",1028
"1863","81 Jahre","Frau",1036
"1864","81 Jahre","Frau",1044
"1865","81 Jahre","Frau",1052
"1866","81 Jahre","Frau",1060
"1867","81 Jahre","Frau",1068
"1868","81 Jahre","Frau",1076
"1869","81 Jahre","Frau",1084
"1870","81 Jahre","Frau",1092
"1871","81 Jahre","Frau",1106
"1872","81 Jahre","Frau",1120
"1873","81 Jahre","Frau",1134
"1874","81 Jahre","Frau",1148
"1875","81 Jahre","Frau",1162
"1876","81 Jahre","Frau",1176
"1877","81 Jahre","Frau",1190
"1878","81 Jahre","Frau",1204
"1879","81 Jahre","Frau",1218
"1880","81 Jahre","Frau",1232
"1881","81 Jahre","Frau",1244
"1882","81 Jahre","Frau",1256
"1883","81 Jahre","Frau",1268
"1884","81 Jahre","Frau",1280
"1885","81 Jahre","Frau",1293
"1886","81 Jahre","Frau",1305
"1887","81 Jahre","Frau",1317
"1888","81 Jahre","Frau",1329
"1889","81 Jahre","Frau",1341
"1890","81 Jahre","Frau",1354
"1891","81 Jahre","Frau",1419
"1892","81 Jahre","Frau",1416
"1893","81 Jahre","Frau",1381
"1894","81 Jahre","Frau",1419
"1895","81 Jahre","Frau",1410
"1896","81 Jahre","Frau",1401
"1897","81 Jahre","Frau",1504
"1898","81 Jahre","Frau",1624
"1899","81 Jahre","Frau",1709
"1900","81 Jahre","Frau",1708
"1901","81 Jahre","Frau",1731
"1902","81 Jahre","Frau",1753
"1903","81 Jahre","Frau",1860
"1904","81 Jahre","Frau",1931
"1905","81 Jahre","Frau",1913
"1906","81 Jahre","Frau",1975
"1907","81 Jahre","Frau",1946
"1908","81 Jahre","Frau",1995
"1909","81 Jahre","Frau",2091
"1910","81 Jahre","Frau",2093
"1911","81 Jahre","Frau",2062
"1912","81 Jahre","Frau",2140
"1913","81 Jahre","Frau",2191
"1914","81 Jahre","Frau",2289
"1915","81 Jahre","Frau",2299
"1916","81 Jahre","Frau",2294
"1917","81 Jahre","Frau",2404
"1918","81 Jahre","Frau",2442
"1919","81 Jahre","Frau",2602
"1920","81 Jahre","Frau",2555
"1921","81 Jahre","Frau",2536
"1922","81 Jahre","Frau",2576
"1923","81 Jahre","Frau",2657
"1924","81 Jahre","Frau",2794
"1925","81 Jahre","Frau",2731
"1926","81 Jahre","Frau",2723
"1927","81 Jahre","Frau",2766
"1928","81 Jahre","Frau",2831
"1929","81 Jahre","Frau",2892
"1930","81 Jahre","Frau",2904
"1931","81 Jahre","Frau",2873
"1932","81 Jahre","Frau",2882
"1933","81 Jahre","Frau",2990
"1934","81 Jahre","Frau",3174
"1935","81 Jahre","Frau",3242
"1936","81 Jahre","Frau",3426
"1937","81 Jahre","Frau",3507
"1938","81 Jahre","Frau",3759
"1939","81 Jahre","Frau",3889
"1940","81 Jahre","Frau",4047
"1941","81 Jahre","Frau",4146
"1942","81 Jahre","Frau",4276
"1943","81 Jahre","Frau",4470
"1944","81 Jahre","Frau",4770
"1945","81 Jahre","Frau",4927
"1946","81 Jahre","Frau",5133
"1947","81 Jahre","Frau",5182
"1948","81 Jahre","Frau",5081
